expression_type	gene	relevance	subject	disease_names	variant	X.rid	evidence	evidenceLevel	source.name	sourceId	createdBy	reviewStatus
increased	CCND1	favours diagnosis	breast cancer [DOID:1612]	breast cancer	overexpression	#153:10	pmid:15961768	CIViC B4	civic	221	#29:0	not required
increased	IGF2	recurrent	adrenocortical carcinoma [DOID:3948]	adrenocortical carcinoma	increased RNA expression	#153:741	pmid:18854392	NA	iprkb	6ecdb95f-fdb1-4d00-bb2c-e51498bb407a	#29:0	pending
increased	SLC29A1	sensitivity	gemcitabine [DB00441]	pancreatic adenocarcinoma	increased RNA expression	#153:771	pmid:25024604	NA	iprkb	81a100ac-36a9-45d5-bb62-4b549598cdbd	#29:0	pending
increased	CLDN4	sensitivity	cpe therapy	breast cancer	increased RNA expression	#153:805	pmid:15111309	NA	iprkb	0f1debcf-e02f-43ec-9e58-35b5bb8f10c2	#29:0	pending
reduced	MLH1	resistance	cisplatin [DB00515]	ovarian cancer	reduced RNA expression	#153:833	pmid:10327053	NA	iprkb	eac4fc66-cd56-4e67-93d8-d3ef2920ca4f	#29:0	pending
increased	GZMA	favourable prognosis	patient	urinary bladder cancer	increased RNA expression	#153:835	pmid:25594174	NA	iprkb	836a0aef-302f-4f79-bd11-8970c951db85	#29:0	pending
increased	PRF1	favourable prognosis	patient	head and neck cancer	increased RNA expression	#153:836	pmid:25594174	NA	iprkb	836a0aef-302f-4f79-bd11-8970c951db85	#29:0	pending
increased	PDCD1LG2	sensitivity	ipilimumab [DB06186]	melanoma	increased RNA expression	#153:842	pmid:26359337	NA	iprkb	d0362e6c-d746-4de7-97c0-16d579434532	#29:0	pending
increased	PDCD1	response	pembrolizumab [DB09037]	melanoma	increased protein expression	#153:843	pmid:25428505	NA	iprkb	4f63352e-a852-41bd-93c1-2386cbe6d804	#29:0	pending
increased	CD8A	favourable prognosis	patient	colorectal cancer	increased RNA expression	#153:846	pmid:24782321	NA	iprkb	cb5f856d-0a7b-4a5c-aa19-6d5a16b61733	#29:0	pending
increased	CXCL13	favourable prognosis	patient	colorectal cancer	increased RNA expression	#153:847	pmid:24138885	NA	iprkb	ee8cf40b-eb80-4f67-b7fb-af572522ee31	#29:0	pending
